CustomerID,FullName,Gender,DOB,City,Country,Email,Phone,JoinDate
CUST0001,Emeka Sani,Male,05/01/1970,Aba,Nigeria,emeka.sani@yahoo.com,09119600133,01/10/2019
CUST0002,David Afolayan,Male,20/11/1969,Abeokuta,Nigeria,david.afolayan@hotmail.com,07026542351,15/09/2021
CUST0003,Ahmed Bello,Male,30/01/1987,Owerri,Nigeria,ahmed.bello@outlook.com,09116184959,09/11/2020
CUST0004,Sulaiman Musa,Male,11/06/1980,Abuja,Nigeria,sulaiman.musa@outlook.com,07064752553,01/06/2024
CUST0005,Oluwaseun Olatunji,Female,09/05/1975,Port Harcourt,Nigeria,oluwaseun.olatunji@yahoo.com,09135030564,01/11/2023
CUST0006,Kelechi Olatunji,Male,25/03/1988,Onitsha,Nigeria,kelechi.olatunji@yahoo.com,09024238849,19/01/2025
CUST0007,Uduak Peter,Female,02/11/1969,Uyo,Nigeria,uduak.peter@yahoo.com,07012269166,22/01/2021
CUST0008,Hadiza Ogunleye,Female,07/07/1990,Abeokuta,Nigeria,hadiza.ogunleye@gmail.com,08151462704,17/02/2017
CUST0009,Samuel Olatunji,Male,10/10/1986,Kano,Nigeria,samuel.olatunji@yahoo.com,09180957015,06/01/2024
CUST0010,Hauwa Obi,Female,24/01/1967,Benin City,Nigeria,hauwa.obi@gmail.com,09122782489,13/05/2023
CUST0011,Fatima Olatunji,Female,17/01/1978,Abeokuta,Nigeria,fatima.olatunji@outlook.com,08178713315,21/06/2025
CUST0012,Ifeanyi Johnson,Male,04/10/1979,Benin City,Nigeria,ifeanyi.johnson@gmail.com,08010518347,08/08/2023
CUST0013,David Chima,Male,28/05/2002,Onitsha,Nigeria,david.chima@yahoo.com,08011656670,19/06/2023
CUST0014,Chinedu Suleiman,Male,20/10/1969,Ilorin,Nigeria,chinedu.suleiman@yahoo.com,08062473178,24/12/2025
CUST0015,Chinedu Ojo,Male,08/03/1964,Abeokuta,Nigeria,chinedu.ojo@yahoo.com,08060260647,02/03/2017
CUST0016,Ruth Abubakar,Female,30/08/2003,Abeokuta,Nigeria,ruth.abubakar@yahoo.com,07098050097,04/06/2024
CUST0017,Chinedu Lawal,Male,27/01/1963,Port Harcourt,Nigeria,chinedu.lawal@gmail.com,07093990916,01/02/2019
CUST0018,Bimpe Ogunleye,Female,09/03/1988,Kaduna,Nigeria,bimpe.ogunleye@yahoo.com,08175107991,06/07/2024
CUST0019,David Afolayan,Male,10/12/1965,Sokoto,Nigeria,david.afolayan@outlook.com,08142784980,23/12/2019
CUST0020,Bimpe Owolabi,Female,12/11/1971,Kano,Nigeria,bimpe.owolabi@gmail.com,08044935348,05/07/2018
CUST0021,Yetunde Ajayi,Female,14/06/1988,Abuja,Nigeria,yetunde.ajayi@hotmail.com,,14/01/2018
CUST0022,Sade Chima,Female,01/04/1993,Aba,Nigeria,sade.chima@hotmail.com,07011280598,24/10/2018
CUST0023,Abdul Chima,Male,10/05/1976,Abuja,Nigeria,abdul.chima@gmail.com,08015869232,16/06/2020
CUST0024,Oluwatobi Balogun,Male,14/01/1993,Lagos,Nigeria,oluwatobi.balogun@outlook.com,08042160733,05/01/2019
CUST0025,Adaeze Okoye,Female,22/01/1961,Benin City,Nigeria,adaeze.okoye@yahoo.com,07045868501,03/07/2019
CUST0026,Ngozi Peter,Female,11/11/1964,Aba,Nigeria,ngozi.peter@hotmail.com,09098169340,06/06/2017
CUST0027,Chioma Lawal,Female,04/09/1977,Abeokuta,Nigeria,chioma.lawal@outlook.com,08195148465,14/09/2024
CUST0028,Oluwaseun Okoye,Female,09/08/1968,Abeokuta,Nigeria,oluwaseun.okoye@hotmail.com,08099468044,06/06/2018
CUST0029,Abdul Ahmed,Male,28/11/1988,Onitsha,Nigeria,abdul.ahmed@hotmail.com,09172148951,21/10/2023
CUST0030,Kehinde Okoye,Male,11/08/1966,Benin City,Nigeria,kehinde.okoye@gmail.com,09117693676,27/03/2019
CUST0031,Tunde Ojo,Male,24/07/1969,Lagos,Nigeria,tunde.ojo@hotmail.com,09170831727,03/06/2025
CUST0032,Sade Ajayi,Female,14/04/2005,Warri,Nigeria,sade.ajayi@hotmail.com,08077434873,15/11/2023
CUST0033,Joy Musa,Female,09/03/1972,Jos,Nigeria,joy.musa@outlook.com,08023623166,19/08/2019
CUST0034,Khadija Onyeka,Female,11/04/1969,Calabar,Nigeria,khadija.onyeka@hotmail.com,07096705466,13/09/2017
CUST0035,John Adeyemi,Male,13/10/1981,Aba,Nigeria,john.adeyemi@gmail.com,09027298069,21/11/2021
CUST0036,Ibrahim Ojo,Male,19/11/1998,Calabar,Nigeria,ibrahim.ojo@hotmail.com,08137556464,10/07/2018
CUST0037,John Okafor,Male,12/09/1975,Abeokuta,Nigeria,john.okafor@yahoo.com,07003309232,02/08/2017
CUST0038,Olamide Bello,Female,10/11/1980,Onitsha,Nigeria,olamide.bello@outlook.com,09112419049,12/06/2019
CUST0039,Maryam Abubakar,Female,23/07/1986,Kaduna,Nigeria,maryam.abubakar@yahoo.com,09119058651,08/11/2017
CUST0040,Chioma Onwudiwe,Female,25/09/1964,Calabar,Nigeria,chioma.onwudiwe@hotmail.com,09026284987,01/07/2022
CUST0041,Ruth Umeh,Female,16/06/1974,Onitsha,Nigeria,ruth.umeh@yahoo.com,09037996507,05/01/2020
CUST0042,Ngozi Ikechukwu,Female,15/10/1995,Kaduna,Nigeria,ngozi.ikechukwu@outlook.com,08180831367,24/12/2020
CUST0043,Sulaiman Ikechukwu,Male,27/07/1995,Maiduguri,Nigeria,sulaiman.ikechukwu@gmail.com,08049578856,10/01/2022
CUST0044,Adaeze Abubakar,Female,02/10/1973,Warri,Nigeria,adaeze.abubakar@outlook.com,08118233749,15/01/2020
CUST0045,Peace Umeh,Female,16/03/1970,Kaduna,Nigeria,peace.umeh@outlook.com,,28/04/2020
CUST0046,Sani Obi,Male,17/03/1986,Abuja,Nigeria,sani.obi@yahoo.com,07009477752,17/03/2023
CUST0047,Sani Onwudiwe,Male,16/11/1996,Maiduguri,Nigeria,sani.onwudiwe@gmail.com,07022941318,13/04/2018
CUST0048,Amina Umar,Female,17/10/1994,Akure,Nigeria,amina.umar@hotmail.com,09164990913,14/07/2019
CUST0049,Sani Owolabi,Male,04/10/1970,Port Harcourt,Nigeria,sani.owolabi@yahoo.com,09079740344,06/10/2018
CUST0050,Zainab Owolabi,Female,04/05/1995,Benin City,Nigeria,zainab.owolabi@yahoo.com,08042102499,20/12/2019
CUST0051,Joy Bello,Female,13/04/1987,Warri,Nigeria,joy.bello@hotmail.com,09071906594,21/09/2024
CUST0052,Ibrahim Adeyemi,Male,10/11/1961,Onitsha,Nigeria,ibrahim.adeyemi@outlook.com,08078742967,02/08/2023
CUST0053,John Ibrahim,Male,27/05/1974,Calabar,Nigeria,john.ibrahim@gmail.com,09046807154,27/09/2020
CUST0054,Peace Garba,Female,01/01/1997,Uyo,Nigeria,peace.garba@gmail.com,09003859770,09/10/2022
CUST0055,Sani Johnson,Male,27/08/1979,Ibadan,Nigeria,sani.johnson@hotmail.com,09132480861,25/03/2020
